time	open	high	low	close	volume	dateTime
726105600000	0.53125	0.5625	0.5111608	0.5558035	1189865600	1993-01-04T15:00:00.000-05:00
726710400000	0.5535715	0.5825893	0.5357143	0.5379465	2089964800	1993-01-11T15:00:00.000-05:00
727315200000	0.53125	0.5401785	0.5178573	0.53125	1097779200	1993-01-18T15:00:00.000-05:00
727920000000	0.5290178	0.5535715	0.5245535	0.53125	1164654400	1993-01-25T15:00:00.000-05:00
728524800000	0.5290178	0.5491073	0.5022323	0.5111608	1262844800	1993-02-01T15:00:00.000-05:00
729129600000	0.5089285	0.5133928	0.4799108	0.4810268	1231686400	1993-02-08T15:00:00.000-05:00
729734400000	0.4776785	0.4955358	0.4598215	0.4910715	1115240000	1993-02-15T15:00:00.000-05:00
730339200000	0.4910715	0.5	0.4654018	0.4732143	1041510400	1993-02-22T15:00:00.000-05:00
730944000000	0.4732143	0.4977678	0.4709823	0.4910715	769652800	1993-03-01T15:00:00.000-05:00
731548800000	0.4910715	0.5133928	0.4910715	0.5022323	735638400	1993-03-08T15:00:00.000-05:00
732153600000	0.5	0.515625	0.4776785	0.4799108	673825600	1993-03-15T15:00:00.000-05:00
732758400000	0.4776785	0.4888393	0.46875	0.4754465	733611200	1993-03-22T15:00:00.000-05:00
733363200000	0.4665178	0.4709823	0.4419643	0.4475448	1110793600	1993-03-29T15:00:00.000-05:00
733968000000	0.4464285	0.453125	0.4330358	0.4441965	643820800	1993-04-05T16:00:00.000-04:00
734572800000	0.4419643	0.4575893	0.4174107	0.4296875	1333091200	1993-04-12T16:00:00.000-04:00
735177600000	0.4330358	0.453125	0.4308035	0.4397323	965003200	1993-04-19T16:00:00.000-04:00
735782400000	0.4397323	0.46875	0.4330358	0.4575893	610500800	1993-04-26T16:00:00.000-04:00
736387200000	0.4575893	0.4955358	0.4553573	0.4888393	641424000	1993-05-03T16:00:00.000-04:00
736992000000	0.4910715	0.5	0.4732143	0.4955358	880667200	1993-05-10T16:00:00.000-04:00
737596800000	0.4955358	0.5279018	0.4866073	0.5133928	844614400	1993-05-17T16:00:00.000-04:00
738201600000	0.5066965	0.5245535	0.4944198	0.5055803	833840000	1993-05-24T16:00:00.000-04:00
738806400000	0.5044643	0.5200893	0.4866073	0.4899553	706092800	1993-05-31T16:00:00.000-04:00
739411200000	0.4866073	0.4888393	0.3816964	0.390625	3077849600	1993-06-07T16:00:00.000-04:00
740016000000	0.3928572	0.4040178	0.3549107	0.3660714	1771627200	1993-06-14T16:00:00.000-04:00
740620800000	0.3616072	0.375	0.3526786	0.3571428	1270684800	1993-06-21T16:00:00.000-04:00
741225600000	0.3616072	0.3616072	0.3370536	0.34375	1257939200	1993-06-28T16:00:00.000-04:00
741830400000	0.3415178	0.3482143	0.3236607	0.328125	678137600	1993-07-05T16:00:00.000-04:00
742435200000	0.328125	0.3459822	0.2366072	0.2455357	3036924800	1993-07-12T16:00:00.000-04:00
743040000000	0.25	0.2566964	0.2276786	0.234375	2239003200	1993-07-19T16:00:00.000-04:00
743644800000	0.2388393	0.2522322	0.2321428	0.2477678	779049600	1993-07-26T16:00:00.000-04:00
744249600000	0.2522322	0.2745536	0.25	0.2611607	971073600	1993-08-02T16:00:00.000-04:00
744854400000	0.2611607	0.2700893	0.2321428	0.2444197	958148800	1993-08-09T16:00:00.000-04:00
745459200000	0.2455357	0.265625	0.2410714	0.25	651414400	1993-08-16T16:00:00.000-04:00
746064000000	0.25	0.2566964	0.234375	0.2366072	700918400	1993-08-23T16:00:00.000-04:00
746668800000	0.2366072	0.2388393	0.2254464	0.2299107	1072377600	1993-08-30T16:00:00.000-04:00
747273600000	0.2321428	0.2410714	0.2265625	0.234375	654192000	1993-09-06T16:00:00.000-04:00
747878400000	0.234375	0.2366072	0.2098214	0.2254464	1048140800	1993-09-13T16:00:00.000-04:00
748483200000	0.2254464	0.2276786	0.2131697	0.2232143	575545600	1993-09-20T16:00:00.000-04:00
749088000000	0.2232143	0.2254464	0.2008928	0.203125	1055364800	1993-09-27T16:00:00.000-04:00
749692800000	0.2020089	0.2142857	0.1964286	0.2020089	818742400	1993-10-04T16:00:00.000-04:00
750297600000	0.203125	0.2544643	0.203125	0.2522322	1760427200	1993-10-11T16:00:00.000-04:00
750902400000	0.25	0.28125	0.2433036	0.2700893	1708168000	1993-10-18T16:00:00.000-04:00
751507200000	0.2700893	0.2879464	0.2589286	0.2745536	1281996800	1993-10-25T16:00:00.000-04:00
752112000000	0.2745536	0.2946428	0.2700893	0.2845982	1070585600	1993-11-01T15:00:00.000-05:00
752716800000	0.2857143	0.2868303	0.265625	0.2834822	701310400	1993-11-08T15:00:00.000-05:00
753321600000	0.28125	0.3125	0.28125	0.2946428	1000182400	1993-11-15T15:00:00.000-05:00
753926400000	0.2924107	0.2991072	0.2790178	0.2912947	470657600	1993-11-22T15:00:00.000-05:00
754531200000	0.2879464	0.2912947	0.2767857	0.28125	541710400	1993-11-29T15:00:00.000-05:00
755136000000	0.28125	0.2901786	0.2477678	0.2522322	940441600	1993-12-06T15:00:00.000-05:00
755740800000	0.2522322	0.265625	0.2477678	0.2633928	933396800	1993-12-13T15:00:00.000-05:00
756345600000	0.2611607	0.265625	0.2366072	0.2433036	848489600	1993-12-20T15:00:00.000-05:00
756950400000	0.2477678	0.2700893	0.2433036	0.2611607	902305600	1993-12-27T15:00:00.000-05:00
757555200000	0.2633928	0.3035714	0.2589286	0.2957589	1744142400	1994-01-03T15:00:00.000-05:00
758160000000	0.2946428	0.3024553	0.265625	0.2767857	1742216000	1994-01-10T15:00:00.000-05:00
758764800000	0.2767857	0.2991072	0.2566964	0.2979911	2038321600	1994-01-17T15:00:00.000-05:00
759369600000	0.296875	0.3147322	0.2946428	0.3035714	1568974400	1994-01-24T15:00:00.000-05:00
759974400000	0.2991072	0.3125	0.2879464	0.2991072	1033558400	1994-01-31T15:00:00.000-05:00
760579200000	0.2991072	0.3348214	0.2991072	0.3303572	1664096000	1994-02-07T15:00:00.000-05:00
761184000000	0.3303572	0.3392857	0.3236607	0.3236607	791571200	1994-02-14T15:00:00.000-05:00
761788800000	0.3236607	0.3415178	0.3169643	0.3214286	909787200	1994-02-21T15:00:00.000-05:00
762393600000	0.3236607	0.3348214	0.3102678	0.328125	1045161600	1994-02-28T15:00:00.000-05:00
762998400000	0.3303572	0.3404018	0.3214286	0.3325893	1050593600	1994-03-07T15:00:00.000-05:00
763603200000	0.34375	0.34375	0.3191964	0.3247768	1173323200	1994-03-14T15:00:00.000-05:00
