open,high,low,close,volume,dcl,dcm,dcu
142.7,149.9692,133.73,134.51,505728800,129.04,155.99,182.94
135.11,136.81,129.64,131.86,384620430,129.04,154.325,179.61
131.38,131.41,125.87,129.93,307184140,125.87,152.74,179.61
130.28,130.9,124.17,129.62,369948530,124.17,151.89000000000001,179.61
130.465,134.92,128.12,134.76,333335280,124.17,151.89000000000001,179.61
134.83,138.61,133.77,137.87,271823470,124.17,151.89000000000001,179.61
138.12,147.23,137.9,145.93,338655720,124.17,151.89000000000001,179.61
144.955,157.38,141.32,154.5,480249680,124.17,151.89000000000001,179.61
152.575,155.23,149.22,151.01,330758790,124.17,151.89000000000001,179.61
150.952,156.33,150.85,152.55,316887900,124.17,151.89000000000001,179.61
150.2,151.3,145.7202,146.71,213742390,124.17,151.89000000000001,179.61
147.71,151.11,143.9,151.03,274036520,124.17,151.89000000000001,179.61
153.785,156.3,147.6096,148.5,313350830,124.17,151.89000000000001,179.61
147.805,156.74,147.7,155.0,410519930,124.17,151.33,178.49
155.07,162.14,154.15,160.25,350159910,124.17,150.16,176.15
159.94,165.0,155.98,164.9,267939590,124.17,150.16,176.15
164.27,166.84,161.8,164.66,200156350,124.17,150.16,176.15
161.42,166.32,159.78,165.21,263326290,124.17,150.16,176.15
165.09,168.16,164.03,165.02,249953110,124.17,150.16,176.15
165.0,169.85,162.8,169.68,256340620,124.17,150.16,176.15
169.28,174.3,164.31,173.57,360723250,124.17,150.16,176.15
172.48,174.59,171.0,172.57,250061980,124.17,150.16,176.15
173.16,176.39,170.4201,175.16,258634690,124.17,150.28,176.39
173.98,175.77,170.52,175.43,250354920,124.17,150.28,176.39
176.96,181.78,176.57,180.95,286488410,124.17,152.975,181.78
182.63,184.951,177.32,180.96,347854340,124.17,154.5605,184.951
181.27,186.99,180.97,184.92,333836400,124.17,155.58,186.99
184.41,187.56,182.5901,186.68,203677110,124.17,155.865,187.56
186.83,194.48,185.23,193.97,281596830,124.17,159.325,194.48
193.78,193.88,189.2,190.68,170349470,124.17,159.325,194.48
189.26,191.7,186.6,190.69,250269110,124.17,159.325,194.48
191.9,198.23,191.23,191.94,310914140,124.17,161.2,198.23
193.41,197.2,192.25,195.83,226011790,124.17,161.2,198.23
196.06,196.73,181.92,181.99,302694990,124.17,161.2,198.23
182.13,183.13,176.55,177.79,332501090,124.17,161.2,198.23
177.97,179.69,171.96,174.49,261498110,124.17,161.2,198.23
175.07,181.55,173.735,178.61,247514270,124.17,161.2,198.23
180.09,189.92,178.545,189.46,264199500,124.17,161.2,198.23
188.28,189.98,173.54,178.18,305126710,124.17,161.2,198.23
179.45,180.13,173.58,175.01,344803020,124.17,161.2,198.23
176.48,179.695,173.86,174.79,297395200,124.17,161.2,198.23
174.2,176.97,167.62,171.21,285839000,124.17,161.2,198.23
171.22,177.99,170.82,177.49,260574030,124.17,161.2,198.23
176.81,182.34,175.8,178.85,241839090,128.12,163.175,198.23
176.75,179.075,172.64,172.88,288377600,133.77,166.0,198.23
170.91,174.01,165.67,168.22,286078100,137.9,168.065,198.23
169.02,177.78,167.9,176.65,310075880,141.32,169.77499999999998,198.23
176.38,186.565,176.21,186.4,303653020,143.9,171.065,198.23
185.82,190.96,184.21,189.69,262880720,143.9,171.065,198.23
189.89,192.93,189.25,189.97,148351450,143.9,171.065,198.23
189.92,192.09,188.19,191.24,216481440,143.9,171.065,198.23
189.98,195.99,187.4511,195.71,251991670,147.6096,172.9198,198.23
193.11,199.62,191.42,197.57,379414760,147.7,173.66,199.62
196.09,197.68,192.97,193.6,232340850,154.15,176.885,199.62
193.61,194.66,191.09,192.53,153729040,155.98,177.8,199.62
187.15,188.44,180.17,181.18,275266370,159.78,179.7,199.62
182.085,187.05,181.5,185.92,238385380,159.78,179.7,199.62
182.16,191.95,180.3,191.56,259829210,162.8,181.21,199.62
192.3,196.38,191.94,192.42,255536900,162.8,181.21,199.62
192.01,192.2,179.25,185.85,325909880,164.31,181.965,199.62
188.15,191.05,185.84,188.85,252715800,165.67,182.64499999999998,199.62
188.415,188.67,181.35,182.31,268128940,165.67,182.64499999999998,199.62
181.79,185.04,180.0,182.52,192607110,165.67,182.64499999999998,199.62
182.24,183.9225,177.38,179.66,354385890,165.67,182.64499999999998,199.62
176.15,176.9,173.79,174.2727,53532630,165.67,182.64499999999998,199.62
